"","country_code","country","GDP_PPP_millions","Population_thousands","Per_Capita"
"117","BRN","Brunei Darussalam",29712,417,71251.7985611511
"118","TCD","Chad",29648,13587,2182.08581732538
"119","NIC","Nicaragua",29578,6014,4918.19088792817
"120","GNQ","Equatorial Guinea",28517,821,34734.4701583435
"121","BFA","Burkina Faso",28486,17589,1619.53493660811
"122","COG","Congo, Rep.",28277,4505,6276.80355160932
"123","MLI","Mali",27324,17086,1599.20402668852
"124","ZWE","Zimbabwe",27313,15246,1791.48629148629
"125","MKD","Macedonia, FYR",27279,2076,13140.1734104046
"126","CYP","Cyprus",26368,1154,22849.2201039861
"127","ARM","Armenia",24259,3006,8070.19294743846
"128","JAM","Jamaica",24152,2721,8876.14847482543
"129","SSD","South Sudan",24047,11911,2018.89010158677
"130","NAM","Namibia",23922,2403,9955.05617977528
"131","MUS","Mauritius",23435,1261,18584.4567803331
"132","TJK","Tajikistan",22322,8296,2690.69431051109
"133","BEN","Benin",21517,10598,2030.28873372334
"134","PNG","Papua New Guinea",21307,7464,2854.63558413719
"135","KGZ","Kyrgyz Republic",19382,5834,3322.24888584162
"136","WBG","West Bank and Gaza",19365,4295,4508.73108265425
"137","RWA","Rwanda",18833,11342,1660.46552636219
"138","HTI","Haiti",18309,10572,1731.83881952327
"139","NER","Niger",17924,19114,937.741969237208
"140","MDA","Moldova",17720,3556,4983.12710911136
"141","KSV","Kosovo",16616,1823,9114.64618760285
"142","MRT","Mauritania",15528,3970,3911.33501259446
"143","GIN","Guinea",14992,12276,1221.24470511567
"144","ISL","Iceland",14186,328,43250
"145","MWI","Malawi",13717,16695,821.623240491165
"146","SLE","Sierra Leone",12417,6316,1965.95946801773
"147","MLT","Malta",12332,427,28880.5620608899
"148","SWZ","Swaziland",10524,1269,8293.14420803783
"149","TGO","Togo",10166,7115,1428.81236823612
"150","BHS","Bahamas, The",8998,383,23493.4725848564
"151","SUR","Suriname",8955,538,16644.9814126394
"152","MNE","Montenegro",8915,622,14332.7974276527
"153","BDI","Burundi",8328,10817,769.899232689285
"154","ERI","Eritrea",7814,5110,1529.15851272016
"155","FJI","Fiji",7794,886,8796.83972911964
"156","BTN","Bhutan",5979,765,7815.6862745098
"157","LSO","Lesotho",5565,2109,2638.69132290185
"158","GUY","Guyana",5234,764,6850.78534031414
"159","MDV","Maldives",5024,401,12528.6783042394
"160","BRB","Barbados",4550,283,16077.7385159011
"161","LBR","Liberia",3696,4397,840.573118035024
"162","BMU","Bermuda",3403,65,52353.8461538462
"163","CPV","Cabo Verde",3350,514,6517.50972762646
"164","GMB","Gambia, The",3072,1928,1593.36099585062
"165","BLZ","Belize",2960,352,8409.09090909091
"166","DJI","Djibouti",2865,876,3270.54794520548
"167","CAF","Central African Republic",2855,4804,594.296419650291
"168","TMP","Timor-Leste",2699,1212,2226.89768976898
"169","GNB","Guinea-Bissau",2495,1801,1385.34147695725
"170","SYC","Seychelles",2415,92,26250
"171","ATG","Antigua and Barbuda",2007,91,22054.9450549451
"172","LCA","St. Lucia",1971,184,10711.9565217391
